Country,2024 Population,2023 Population,Area,Density,Growth Rate,World Rank,Currency Code,Exchange Rate to USD
Bangladesh,173562364,"171,466,990",147.6K,130.2K,"1,333",1.22%,BDT,119.468
Russia,144820423,"145,440,500",17.1M,16.4M,9,-0.43%,N/A,N/A
Ethiopia,132059767,"128,691,692",1.1M,1.1M,117,2.62%,N/A,N/A
Mexico,130861007,"129,739,759",2M,1.9M,67,0.86%,N/A,N/A
Japan,123753041,"124,370,947",377.9K,364.5K,340,-0.5%,N/A,N/A
Egypt,116538258,"114,535,772",1M,1M,117,1.75%,N/A,N/A
Philippines,115843670,"114,891,199",342.4K,298.2K,389,0.83%,N/A,N/A
DR Congo,109276265,"105,789,731",2.3M,2.3M,48,3.3%,N/A,N/A
Vietnam,100987686,"100,352,192",331.2K,313.4K,322,0.63%,N/A,N/A
Iran,91567738,"90,608,707",1.6M,1.6M,56,1.06%,N/A,N/A
Turkey,87473805,"87,270,501",783.6K,783.6K,112,0.23%,N/A,N/A
Germany,84552242,"84,548,231",357.1K,349.4K,242,0%,N/A,N/A
Thailand,71668011,"71,702,435",513.1K,510.9K,140,-0.05%,N/A,N/A
United Kingdom,69138192,"68,682,962",242.9K,241.9K,286,0.66%,N/A,N/A
Tanzania,68560157,"66,617,606",945.1K,885.8K,77,2.92%,N/A,N/A
France,66548530,"66,438,822",551.7K,547.6K,122,0.17%,N/A,N/A
South Africa,64007187,"63,212,384",1.2M,1.2M,53,1.26%,N/A,N/A
Italy,59342867,"59,499,453",301.3K,295.7K,201,-0.26%,N/A,N/A
Kenya,56432944,"55,339,003",580.4K,569.1K,99,1.98%,N/A,N/A
Myanmar,54500091,"54,133,798",676.6K,652.7K,84,0.68%,N/A,N/A
Colombia,52886363,"52,321,152",1.1M,1.1M,48,1.08%,N/A,N/A
South Korea,51717590,"51,748,739",100.2K,97.6K,530,-0.06%,N/A,N/A
Sudan,50448963,"50,042,791",1.9M,1.9M,27,0.81%,N/A,N/A
Uganda,50015092,"48,656,601",241.6K,200.5K,249,2.79%,N/A,N/A
Spain,47910526,"47,911,579",506K,499.6K,96,0%,N/A,N/A
Algeria,46814308,"46,164,219",2.4M,2.4M,20,1.41%,N/A,N/A
Iraq,46042015,"45,074,049",438.3K,434.1K,106,2.15%,N/A,N/A
Argentina,45696159,"45,538,401",2.8M,2.7M,17,0.35%,N/A,N/A
Afghanistan,42647492,"41,454,761",652.2K,652.2K,65,2.88%,N/A,N/A
Yemen,40583164,"39,390,799",528K,528K,77,3.03%,N/A,N/A
Canada,39742430,"39,299,105",10M,9M,4,1.13%,N/A,N/A
Poland,38539201,"38,762,844",312.7K,306.1K,126,-0.58%,N/A,N/A
Morocco,38081173,"37,712,505",446.6K,446.3K,85,0.98%,N/A,N/A
Angola,37885849,"36,749,906",1.2M,1.2M,30,3.09%,N/A,N/A
Ukraine,37860221,"37,732,836",603.5K,579.4K,65,0.34%,N/A,N/A
Uzbekistan,36361859,"35,652,307",447.4K,440.6K,83,1.99%,N/A,N/A
Malaysia,35557673,"35,126,298",330.8K,328.6K,108,1.23%,N/A,N/A
Mozambique,34631766,"33,635,160",801.6K,786.4K,44,2.96%,N/A,N/A
Ghana,34427414,"33,787,914",238.5K,227.5K,151,1.89%,N/A,N/A
Peru,34217848,"33,845,617",1.3M,1.3M,27,1.1%,N/A,N/A
Saudi Arabia,33962757,"33,264,292",2.1M,2.1M,16,2.1%,N/A,N/A
Madagascar,31964956,"31,195,932",587K,581.8K,55,2.47%,N/A,N/A
Ivory Coast,31934230,"31,165,654",322.5K,318K,100,2.47%,N/A,N/A
Nepal,29651054,"29,694,614",147.2K,143.3K,207,-0.15%,N/A,N/A
Cameroon,29123744,"28,372,687",475.4K,472.7K,62,2.65%,N/A,N/A
Venezuela,28405543,"28,300,854",916.4K,882K,32,0.37%,N/A,N/A
Niger,27032412,"26,159,867",1.3M,1.3M,21,3.34%,N/A,N/A
Australia,26713205,"26,451,124",7.7M,7.7M,3,0.99%,N/A,N/A
North Korea,26498823,"26,418,204",120.5K,120.4K,220,0.31%,N/A,N/A
Syria,24672760,"23,594,623",185.2K,183.6K,134,4.57%,N/A,N/A
Mali,24478595,"23,769,127",1.2M,1.2M,20,2.98%,N/A,N/A
Burkina Faso,23548781,"23,025,776",273K,273.6K,86,2.27%,N/A,N/A
Taiwan,23213962,"23,317,145",36.2K,36.2K,641,-0.44%,N/A,N/A
Sri Lanka,23103565,"22,971,617",65.6K,61.9K,373,0.57%,N/A,N/A
Malawi,21655286,"21,104,482",118.5K,94.3K,230,2.61%,N/A,N/A
Zambia,21314956,"20,723,965",752.6K,743.4K,29,2.85%,N/A,N/A
Kazakhstan,20592571,"20,330,104",2.7M,2.7M,8,1.29%,N/A,N/A
Chad,20299123,"19,319,064",1.3M,1.3M,16,5.07%,N/A,N/A
Chile,19764771,"19,658,835",756.1K,743.5K,27,0.54%,N/A,N/A
Romania,19015088,"19,118,479",238.4K,230.1K,83,-0.54%,N/A,N/A
Somalia,19009151,"18,358,615",637.7K,627.3K,30,3.54%,N/A,N/A
Senegal,18501984,"18,077,573",196.7K,192.5K,96,2.35%,N/A,N/A
Guatemala,18406359,"18,124,838",108.9K,107.2K,172,1.55%,N/A,N/A
Netherlands,18228742,"18,092,524",41.9K,33.7K,541,0.75%,N/A,N/A
Ecuador,18135478,"17,980,083",276.8K,248.4K,73,0.86%,N/A,N/A
Cambodia,17638801,"17,423,880",181K,176.5K,100,1.23%,N/A,N/A
Zimbabwe,16634373,"16,340,822",390.8K,386.9K,43,1.8%,N/A,N/A
Guinea,14754785,"14,405,468",245.9K,245.7K,60,2.42%,N/A,N/A
Benin,14462724,"14,111,034",112.6K,112.8K,128,2.49%,N/A,N/A
Rwanda,14256567,"13,954,471",26.3K,24.7K,578,2.16%,N/A,N/A
Burundi,14047786,"13,689,450",27.8K,25.7K,547,2.62%,N/A,N/A
Bolivia,12413315,"12,244,159",1.1M,1.1M,11,1.38%,N/A,N/A
Tunisia,12277109,"12,200,431",163.6K,155.4K,79,0.63%,N/A,N/A
South Sudan,11943408,"11,483,374",619.7K,631.9K,19,4.01%,N/A,N/A
Haiti,11772557,"11,637,398",27.8K,27.6K,427,1.16%,N/A,N/A
Belgium,11738763,"11,712,893",30.5K,30.3K,388,0.22%,N/A,N/A
Jordan,11552876,"11,439,213",89.3K,88.8K,130,0.99%,N/A,N/A
