Country,2024 Population,2023 Population,Area,Density,Growth Rate,World Rank,Currency Code,Exchange Rate to USD
Spain,47910526,"47,911,579",506K,499.6K,96,0%,EUR,0.8968
Algeria,46814308,"46,164,219",2.4M,2.4M,20,1.41%,DZD,132.3575
Iraq,46042015,"45,074,049",438.3K,434.1K,106,2.15%,IQD,1310.4028
Argentina,45696159,"45,538,401",2.8M,2.7M,17,0.35%,ARS,967.92
Afghanistan,42647492,"41,454,761",652.2K,652.2K,65,2.88%,AFN,68.3872
Yemen,40583164,"39,390,799",528K,528K,77,3.03%,YER,250.3315
Canada,39742430,"39,299,105",10M,9M,4,1.13%,CAD,1.3467
Poland,38539201,"38,762,844",312.7K,306.1K,126,-0.58%,PLN,3.8224
Morocco,38081173,"37,712,505",446.6K,446.3K,85,0.98%,MAD,9.6701
Angola,37885849,"36,749,906",1.2M,1.2M,30,3.09%,AOA,951.4286
Ukraine,37860221,"37,732,836",603.5K,579.4K,65,0.34%,UAH,41.2378
Uzbekistan,36361859,"35,652,307",447.4K,440.6K,83,1.99%,UZS,12742.2057
Malaysia,35557673,"35,126,298",330.8K,328.6K,108,1.23%,MYR,4.1317
Mozambique,34631766,"33,635,160",801.6K,786.4K,44,2.96%,MZN,63.9498
Ghana,34427414,"33,787,914",238.5K,227.5K,151,1.89%,GHS,15.8084
Peru,34217848,"33,845,617",1.3M,1.3M,27,1.1%,PEN,3.7621
Saudi Arabia,33962757,"33,264,292",2.1M,2.1M,16,2.1%,SAR,3.75
Madagascar,31964956,"31,195,932",587K,581.8K,55,2.47%,MGA,4527.3472
Ivory Coast,31934230,"31,165,654",322.5K,318K,100,2.47%,N/A,N/A
Nepal,29651054,"29,694,614",147.2K,143.3K,207,-0.15%,NPR,133.799
Cameroon,29123744,"28,372,687",475.4K,472.7K,62,2.65%,XAF,588.2728
Venezuela,28405543,"28,300,854",916.4K,882K,32,0.37%,VES,36.8507
Niger,27032412,"26,159,867",1.3M,1.3M,21,3.34%,XOF,588.2728
Australia,26713205,"26,451,124",7.7M,7.7M,3,0.99%,AUD,1.4601
North Korea,26498823,"26,418,204",120.5K,120.4K,220,0.31%,N/A,N/A
Syria,24672760,"23,594,623",185.2K,183.6K,134,4.57%,SYP,13081.7707
Mali,24478595,"23,769,127",1.2M,1.2M,20,2.98%,XOF,588.2728
Burkina Faso,23548781,"23,025,776",273K,273.6K,86,2.27%,XOF,588.2728
Taiwan,23213962,"23,317,145",36.2K,36.2K,641,-0.44%,TWD,31.8979
Sri Lanka,23103565,"22,971,617",65.6K,61.9K,373,0.57%,LKR,300.9176
